word,business,entertainment,sport,tech,politics
landline,0,0,0,1,0
landscape,0,1,0,0,0
landslide,0,0,0,0,1
laptop,1,0,0,1,0
law,0,0,0,0,1
law and order,0,0,0,0,1
lawn bowling,0,0,1,0,0
lead,1,0,0,0,0
leader,0,0,0,0,1
leading-edge technology,0,0,0,1,0
leaflet,0,0,0,0,1
league,0,0,1,0,0
lease,1,0,0,0,0
leasehold,1,0,0,0,0
leave,1,0,0,0,0
left-wing,0,0,0,0,1
legislation,0,0,0,0,1
legislative agenda,0,0,0,0,1
leisure,0,0,1,0,0
letterhead,1,0,0,0,0
levee,0,1,0,0,0
leveraged buyout,1,0,0,0,0
liability,1,0,0,0,0
liberal,0,0,0,0,1
liberal democracy,0,0,0,0,1
libertarian,0,0,0,0,1
libor rate,1,0,0,0,0
light show,0,1,0,0,0
liquid asset,1,0,0,0,0
loan,1,0,0,0,0
loan-to-value,1,0,0,0,0
lob,0,0,1,0,0
lobby,0,0,0,0,1
log in,0,0,0,1,0
log-in,1,0,0,0,0
long jump,0,0,1,0,0
long-jump,0,0,1,0,0
lose,0,0,1,0,0
loser,0,0,1,0,0
loss,1,0,1,0,0
low,1,0,0,0,0
low-power,0,0,0,1,0
lower class,0,0,0,0,1
lower house,0,0,0,0,1
lucrative,1,0,0,0,0
luge,0,0,1,0,0
lutz,0,0,1,0,0
machine,0,0,0,1,0
machine learning,0,0,0,1,0
macroeconomics,1,0,0,0,0
magic,0,1,0,0,0
magician,0,1,0,0,0
mailbox,1,0,0,0,0
main branch,1,0,0,0,0
mainframe,1,0,0,0,0
mainstream,0,0,0,0,1
major league,0,0,1,0,0
majority,0,0,0,0,1
malfeasance,0,0,0,0,1
mallet,0,0,1,0,0
manage,1,0,0,0,0
managed fund,1,0,0,0,0
management,1,0,0,0,0
manager,1,0,1,0,0
manifesto,0,0,0,0,1
manipulate,0,0,0,0,1
manufacturing output,1,0,0,0,0
marathon,0,0,1,0,0
margin,1,0,0,0,0
market,1,0,0,0,0
market economy,0,0,0,0,1
marketing,1,0,0,0,0
martial arts,0,0,1,0,0
marxism,0,0,0,0,1
masked ball,0,1,0,0,0
masque,0,1,0,0,0
massive,0,0,0,0,1
mat,0,0,1,0,0
match,0,0,1,0,0
medal,0,0,1,0,0
media,0,0,0,1,0
median,1,0,0,0,0
medieval,0,1,0,0,0
meeting,1,0,0,0,0
melodrama,0,1,0,0,0
mendacity,0,0,0,0,1
merchandise,1,0,0,0,0
merchant,1,0,0,0,0
mercurial,0,0,0,0,1
merger,1,0,0,0,0
meritocracy,0,0,0,0,1
microblogging,0,0,0,1,0
microchip,0,0,0,1,0
microeconomics,1,0,0,0,0
